name,code,pop
Aruba,ABW,104.822
Afghanistan,AFG,34656.032
Angola,AGO,28813.463
Albania,ALB,2876.101
Andorra,AND,77.281
Arab World,ARB,406452.69
United Arab Emirates,ARE,9269.612
Argentina,ARG,43847.43
Armenia,ARM,2924.816
American Samoa,ASM,55.599
Antigua and Barbuda,ATG,100.963
Australia,AUS,24127.159
Austria,AUT,8747.358
Azerbaijan,AZE,9762.274
Burundi,BDI,10524.117
Belgium,BEL,11348.159
Benin,BEN,10872.298
Burkina Faso,BFA,18646.433
Bangladesh,BGD,162951.56
Bulgaria,BGR,7127.822
Bahrain,BHR,1425.171
"Bahamas, The",BHS,391.232
Bosnia and Herzegovina,BIH,3516.816
Belarus,BLR,9507.12
Belize,BLZ,366.954
Bermuda,BMU,65.331
Bolivia,BOL,10887.882
Brazil,BRA,207652.865
Barbados,BRB,284.996
Brunei Darussalam,BRN,423.196
Bhutan,BTN,797.765
Botswana,BWA,2250.26
Central African Republic,CAF,4594.621
Canada,CAN,36286.425
Central Europe and the Baltics,CEB,102974.082
Switzerland,CHE,8372.098
Channel Islands,CHI,164.541
Chile,CHL,17909.754
China,CHN,1378665
Cote d'Ivoire,CIV,23695.919
Cameroon,CMR,23439.189
"Congo, Dem. Rep.",COD,78736.153
"Congo, Rep.",COG,5125.821
Colombia,COL,48653.419
Comoros,COM,795.601
Cabo Verde,CPV,539.56
Costa Rica,CRI,4857.274
Caribbean small states,CSS,7245.472
Cuba,CUB,11475.982
Curacao,CUW,159.999
Cayman Islands,CYM,60.765
Cyprus,CYP,1170.125
Czech Republic,CZE,10561.633
Germany,DEU,82667.685
Djibouti,DJI,942.333
Dominica,DMA,73.543
Denmark,DNK,5731.118
Dominican Republic,DOM,10648.791
Algeria,DZA,40606.052
East Asia & Pacific (excluding high income),EAP,2051431.154
Early-demographic dividend,EAR,3170542.188
East Asia & Pacific,EAS,2296786.207
Europe & Central Asia (excluding high income),ECA,417424.643
Europe & Central Asia,ECS,911995.305
Ecuador,ECU,16385.068
"Egypt, Arab Rep.",EGY,95688.681
Euro area,EMU,340894.606
Eritrea,ERI,0
Spain,ESP,46443.959
Estonia,EST,1316.481
Ethiopia,ETH,102403.196
European Union,EUU,511497.415
Fragile and conflict affected situations,FCS,505635.987
Finland,FIN,5495.096
Fiji,FJI,898.76
France,FRA,66896.109
Faroe Islands,FRO,49.117
"Micronesia, Fed. Sts.",FSM,104.937
Gabon,GAB,1979.786
United Kingdom,GBR,65637.239
Georgia,GEO,3719.3
Ghana,GHA,28206.728
Gibraltar,GIB,34.408
Guinea,GIN,12395.924
"Gambia, The",GMB,2038.501
Guinea-Bissau,GNB,1815.698
Equatorial Guinea,GNQ,1221.49
Greece,GRC,10746.74
Grenada,GRD,107.317
Greenland,GRL,56.186
Guatemala,GTM,16582.469
Guam,GUM,162.896
Guyana,GUY,773.303
High income,HIC,1190029.421
"Hong Kong SAR, China",HKG,7346.7
Honduras,HND,9112.867
Heavily indebted poor countries (HIPC),HPC,744602.976
Croatia,HRV,4170.6
Haiti,HTI,10847.334
Hungary,HUN,9817.958
IBRD only,IBD,4697247.117
IDA & IBRD total,IBT,6271593.092
IDA total,IDA,1574345.975
IDA blend,IDB,521159.393
Indonesia,IDN,261115.456
IDA only,IDX,1053186.582
Isle of Man,IMN,83.737
India,IND,1324171.354
Not classified,INX,0
Ireland,IRL,4773.095
"Iran, Islamic Rep.",IRN,80277.428
Iraq,IRQ,37202.572
Iceland,ISL,334.252
Israel,ISR,8547.1
Italy,ITA,60600.59
Jamaica,JAM,2881.355
Jordan,JOR,9455.802
Japan,JPN,126994.511
Kazakhstan,KAZ,17797.032
Kenya,KEN,48461.567
Kyrgyz Republic,KGZ,6082.7
Cambodia,KHM,15762.37
Kiribati,KIR,114.395
St. Kitts and Nevis,KNA,54.821
"Korea, Rep.",KOR,51245.707
Kuwait,KWT,4052.584
Latin America & Caribbean (excluding high income),LAC,610136.397
Lao PDR,LAO,6758.353
Lebanon,LBN,6006.668
Liberia,LBR,4613.823
Libya,LBY,6293.253
St. Lucia,LCA,178.015
Latin America & Caribbean,LCN,637664.49
Least developed countries: UN classification,LDC,979387.925
Low income,LIC,659272.676
Liechtenstein,LIE,37.666
Sri Lanka,LKA,21203
Lower middle income,LMC,3012923.806
Low & middle income,LMY,6252106.157
Lesotho,LSO,2203.821
Late-demographic dividend,LTE,2262709.895
Lithuania,LTU,2872.298
Luxembourg,LUX,582.972
Latvia,LVA,1960.424
"Macao SAR, China",MAC,612.167
St. Martin (French part),MAF,31.949
Morocco,MAR,35276.786
Monaco,MCO,38.499
Moldova,MDA,3552
Madagascar,MDG,24894.551
Maldives,MDV,417.492
Middle East & North Africa,MEA,436720.722
Mexico,MEX,127540.423
Marshall Islands,MHL,53.066
Middle income,MIC,5592833.481
"Macedonia, FYR",MKD,2081.206
Mali,MLI,17994.837
Malta,MLT,436.947
Myanmar,MMR,52885.223
Middle East & North Africa (excluding high income),MNA,373719.055
Montenegro,MNE,622.781
Mongolia,MNG,3027.398
Northern Mariana Islands,MNP,55.023
Mozambique,MOZ,28829.476
Mauritania,MRT,4301.018
Mauritius,MUS,1263.473
Malawi,MWI,18091.575
Malaysia,MYS,31187.265
North America,NAC,359479.269
Namibia,NAM,2479.713
New Caledonia,NCL,278
Niger,NER,20672.987
Nigeria,NGA,185989.64
Nicaragua,NIC,6149.928
Netherlands,NLD,17018.408
Norway,NOR,5232.929
Nepal,NPL,28982.771
Nauru,NRU,13.049
New Zealand,NZL,4692.7
OECD members,OED,1289937.319
Oman,OMN,4424.762
Other small states,OSS,29983.809
Pakistan,PAK,193203.476
Panama,PAN,4034.119
Peru,PER,31773.839
Philippines,PHL,103320.222
Palau,PLW,21.503
Papua New Guinea,PNG,8084.991
Poland,POL,37948.016
Pre-demographic dividend,PRE,879292.453
Puerto Rico,PRI,3411.307
"Korea, Dem. Peopleâ€™s Rep.",PRK,25368.62
Portugal,PRT,10324.611
Paraguay,PRY,6725.308
West Bank and Gaza,PSE,4551.566
Pacific island small states,PSS,2388.875
Post-demographic dividend,PST,1102730.983
French Polynesia,PYF,280.208
Qatar,QAT,2569.804
Romania,ROU,19705.301
Russian Federation,RUS,144342.396
Rwanda,RWA,11917.508
South Asia,SAS,1766383.45
Saudi Arabia,SAU,32275.687
Sudan,SDN,39578.828
Senegal,SEN,15411.614
Singapore,SGP,5607.283
Solomon Islands,SLB,599.419
Sierra Leone,SLE,7396.19
El Salvador,SLV,6344.722
San Marino,SMR,33.203
Somalia,SOM,14317.996
Serbia,SRB,7057.412
Sub-Saharan Africa (excluding high income),SSA,1033011.458
South Sudan,SSD,12230.73
Sub-Saharan Africa,SSF,1033106.135
Small states,SST,39618.156
Sao Tome and Principe,STP,199.91
Suriname,SUR,558.368
Slovak Republic,SVK,5428.704
Slovenia,SVN,2064.845
Sweden,SWE,9903.122
Swaziland,SWZ,1343.098
Sint Maarten (Dutch part),SXM,40.005
Seychelles,SYC,94.677
Syrian Arab Republic,SYR,18430.453
Turks and Caicos Islands,TCA,34.9
Chad,TCD,14452.543
East Asia & Pacific (IDA & IBRD countries),TEA,2026028.438
Europe & Central Asia (IDA & IBRD countries),TEC,455372.659
Togo,TGO,7606.374
Thailand,THA,68863.514
Tajikistan,TJK,8734.951
Turkmenistan,TKM,5662.544
Latin America & the Caribbean (IDA & IBRD countries),TLA,621534.921
Timor-Leste,TLS,1268.671
Middle East & North Africa (IDA & IBRD countries),TMN,369167.489
Tonga,TON,107.122
South Asia (IDA & IBRD),TSA,1766383.45
Sub-Saharan Africa (IDA & IBRD countries),TSS,1033106.135
Trinidad and Tobago,TTO,1364.962
Tunisia,TUN,11403.248
Turkey,TUR,79512.426
Tuvalu,TUV,11.097
Tanzania,TZA,55572.201
Uganda,UGA,41487.965
Ukraine,UKR,45004.645
Upper middle income,UMC,2579909.675
Uruguay,URY,3444.006
United States,USA,323127.513
Uzbekistan,UZB,31848.2
St. Vincent and the Grenadines,VCT,109.643
"Venezuela, RB",VEN,31568.179
British Virgin Islands,VGB,30.661
Virgin Islands (U.S.),VIR,102.951
Vietnam,VNM,92701.1
Vanuatu,VUT,270.402
World,WLD,7442135.578
Samoa,WSM,195.125
Kosovo,XKX,1816.2
"Yemen, Rep.",YEM,27584.213
South Africa,ZAF,55908.865
Zambia,ZMB,16591.39
Zimbabwe,ZWE,16150.362
